Station,Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SCOF
FATP,2019-10-28,D,P2-SDOE3,2019-10-28T10:01:21Z,P3-C29,NHE_P3-C29_FATP-HDMI_02,WIP9A25105DD0029E,"Amber LED Test_R
","Amber LED Test_R  2071.0_FAIL
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE4,2019-10-28T10:38:38Z,P3-C29,NHE_P3-C29_FATP-HDMI_01,WIP9A25105DD0029P,"USB_C_CC1_check
","USB_C_CC1_check  823.62
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE7,2019-10-28T11:24:26Z,P3-C29,NHE_P3-C29_FATP-HDMI_02,WIP9A24105DD0023T,"White LED Test_B
","White LED Test_B  2010.0_FAIL
",0,0,1,0,
FATP,2019-10-28,D,P2-SDOE4,2019-10-28T10:57:27Z,P3-C29,NHE_P3-C29_FATP-HDMI_01,WIP9A25105DD002AE,"White LED Test_B
","White LED Test_B  2176.0_FAIL
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE7,2019-10-28T12:22:22Z,P3-C29,NHE_P3-C29_FATP-HDMI_02,WIP9A24105DD0022H,"Boot Up MLB
","Boot Up MLB  
",1,0,0,0,
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
FATP,2019-10-28,D,SCOR1,2019-10-28T09:06:05Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-01_04,WIP9A25105DD00258,"current_after_tx_status
current_after_rx_status
current_base_line_status
","current_after_tx_status  Open_connection_on_port__COM8__error__could_not_open_port__COM8___WindowsError(2___\xcf\xb5\xcd\xb3\xd5\xd2\xb2\xbb\xb5\xbd\xd6\xb8\xb6\xa8\xb5\xc4\xce\xc4\xbc\xfe\xa1\xa3_)
current_after_rx_status  Open_connection_on_port__COM8__error__could_not_open_port__COM8___WindowsError(2___\xcf\xb5\xcd\xb3\xd5\xd2\xb2\xbb\xb5\xbd\xd6\xb8\xb6\xa8\xb5\xc4\xce\xc4\xbc\xfe\xa1\xa3_)
current_base_line_status  Open_connection_on_port__COM8__error__could_not_open_port__COM8___WindowsError(2___\xcf\xb5\xcd\xb3\xd5\xd2\xb2\xbb\xb5\xbd\xd6\xb8\xb6\xa8\xb5\xc4\xce\xc4\xbc\xfe\xa1\xa3_)
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE5,2019-10-28T09:34:31Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-01_05,WIP9A24105DD0021K,"WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg
WIFI_AC_BW80_MCS9_CH42_C0_P9.0_max_txp_avg
WIFI_AG_BW20_OFDM-6_CH36_C0_P16.0_max_txp_avg
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg
WIFI_N_BW20_MCS0_CH36_C0_P16.0_max_txp_avg
","WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  6.99
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg  8.57
WIFI_AC_BW80_MCS9_CH42_C0_P9.0_max_txp_avg  3.31
WIFI_AG_BW20_OFDM-6_CH36_C0_P16.0_max_txp_avg  9.36
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg  2.79
WIFI_N_BW20_MCS0_CH36_C0_P16.0_max_txp_avg  9.45
",0,0,1,0,
FATP,2019-10-28,D,SP2M2-RCP2,2019-10-28T13:02:45Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-01_03,WIP9A23105DD001P1,"WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg
WIFI_B_BW20_CCK-11_CH7_C0_P-82.0_sense_per
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg
","WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  9.58
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg  10.86
WIFI_B_BW20_CCK-11_CH7_C0_P-82.0_sense_per  20.6
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg  4.97
",1,0,0,0,
FATP,2019-10-28,D,SP2M2-RCP2,2019-10-28T13:06:20Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-01_03,WIP9A23105DD001NH,"WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
","WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  9.99
",1,0,0,0,
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
FATP,2019-10-28,D,P2-SDOE7,2019-10-28T08:21:03Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_01,WIP9A24105DD0022X,"WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
","WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  9.55
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE7,2019-10-28T08:38:07Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_01,WIP9A24105DD00242,"WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg
WIFI_AC_BW80_MCS9_CH42_C0_P9.0_max_txp_avg
WIFI_AG_BW20_OFDM-6_CH36_C0_P16.0_max_txp_avg
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg
WIFI_N_BW20_MCS0_CH36_C0_P16.0_max_txp_avg
","WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  7.8
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg  9.74
WIFI_AC_BW80_MCS9_CH42_C0_P9.0_max_txp_avg  4.7
WIFI_AG_BW20_OFDM-6_CH36_C0_P16.0_max_txp_avg  10.21
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg  3.73
WIFI_N_BW20_MCS0_CH36_C0_P16.0_max_txp_avg  10.19
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE7,2019-10-28T08:44:54Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_01,WIP9A24105DD00244,"WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
","WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  9.58
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE5,2019-10-28T09:31:57Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_02,WIP9A24105DD0021P,"WIFI_AC_BW40_MCS9_CH159_C0_P9.0_max_txp_avg
WIFI_AG_BW20_OFDM-6_CH165_C0_P16.0_max_txp_avg
WIFI_N_BW20_MCS7_CH100_C0_P14.0_max_txp_avg
WIFI_AG_BW20_OFDM-54_CH100_C0_P15.0_max_txp_avg
WIFI_AG_BW20_OFDM-6_CH36_C0_P16.0_max_txp_avg
WIFI_N_BW40_MCS0_CH159_C0_P15.0_max_txp_avg
WIFI_N_BW20_MCS7_CH165_C0_P14.0_max_txp_avg
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg
WIFI_AC_BW40_MCS9_CH102_C0_P9.0_max_txp_avg
WIFI_AG_BW20_OFDM-6_CH100_C0_P16.0_max_txp_avg
WIFI_N_BW20_MCS7_CH165_C0_P-67.0_sense_per
WIFI_AC_BW80_MCS9_CH155_C0_P9.0_max_txp_avg
WIFI_N_BW20_MCS0_CH100_C0_P16.0_max_txp_avg
WIFI_AG_BW20_OFDM-54_CH165_C0_P15.0_max_txp_avg
WIFI_N_BW20_MCS0_CH36_C0_P16.0_max_txp_avg
WIFI_AC_BW80_MCS9_CH122_C0_P9.0_max_txp_avg
WIFI_N_BW20_MCS0_CH165_C0_P16.0_max_txp_avg
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg
WIFI_AG_BW20_OFDM-54_CH165_C0_P-67.0_sense_per
WIFI_AG_BW20_OFDM-54_CH165_C0_P-67.0_rx_level
WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg
WIFI_N_BW40_MCS0_CH102_C0_P15.0_max_txp_avg
","WIFI_AC_BW40_MCS9_CH159_C0_P9.0_max_txp_avg  0.64
WIFI_AG_BW20_OFDM-6_CH165_C0_P16.0_max_txp_avg  7.5
WIFI_N_BW20_MCS7_CH100_C0_P14.0_max_txp_avg  9.74
WIFI_AG_BW20_OFDM-54_CH100_C0_P15.0_max_txp_avg  10.31
WIFI_AG_BW20_OFDM-6_CH36_C0_P16.0_max_txp_avg  22.47
WIFI_N_BW40_MCS0_CH159_C0_P15.0_max_txp_avg  6.38
WIFI_N_BW20_MCS7_CH165_C0_P14.0_max_txp_avg  5.23
WIFI_N_BW40_MCS0_CH38_C0_P15.0_max_txp_avg  20.22
WIFI_AC_BW40_MCS9_CH102_C0_P9.0_max_txp_avg  4.29
WIFI_AG_BW20_OFDM-6_CH100_C0_P16.0_max_txp_avg  11.54
WIFI_N_BW20_MCS7_CH165_C0_P-67.0_sense_per  99.4
WIFI_AC_BW80_MCS9_CH155_C0_P9.0_max_txp_avg  0.79
WIFI_N_BW20_MCS0_CH100_C0_P16.0_max_txp_avg  11.68
WIFI_AG_BW20_OFDM-54_CH165_C0_P15.0_max_txp_avg  6.14
WIFI_N_BW20_MCS0_CH36_C0_P16.0_max_txp_avg  22.59
WIFI_AC_BW80_MCS9_CH122_C0_P9.0_max_txp_avg  3.23
WIFI_N_BW20_MCS0_CH165_C0_P16.0_max_txp_avg  7.43
WIFI_AC_BW40_MCS9_CH38_C0_P9.0_max_txp_avg  14.37
WIFI_AG_BW20_OFDM-54_CH165_C0_P-67.0_sense_per  57.8
WIFI_AG_BW20_OFDM-54_CH165_C0_P-67.0_rx_level  -78.0
WIFI_N_BW20_MCS7_CH36_C0_P14.0_max_txp_avg  19.89
WIFI_N_BW40_MCS0_CH102_C0_P15.0_max_txp_avg  10.21
",1,0,0,0,
FATP,2019-10-28,D,SP2M2-RCP2,2019-10-28T08:57:32Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_03,WIP9A23105DD001P0,"WIFI_B_BW20_CCK-11_CH7_C0_P-82.0_sense_per
","WIFI_B_BW20_CCK-11_CH7_C0_P-82.0_sense_per  68.8
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE3,2019-10-28T11:22:54Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_02,WIP9A25105DD0028X,"WIFI_AC_BW80_MCS9_CH155_C1_P-52.0_sense_per
","WIFI_AC_BW80_MCS9_CH155_C1_P-52.0_sense_per  72.0
",1,0,0,0,
FATP,2019-10-28,D,P2-SDOE3,2019-10-28T12:23:51Z,P3-C29,NHE_P3-C29_FATP-RF-OTA-02_03,WIP9A25105DD00299,"WIFI_N_BW20_MCS0_CH13_C1_P-82.0_sense_per
WIFI_N_BW20_MCS7_CH7_C1_P-67.0_sense_per
","WIFI_N_BW20_MCS0_CH13_C1_P-82.0_sense_per  23.6
WIFI_N_BW20_MCS7_CH7_C1_P-67.0_sense_per  77.4
",1,0,0,0,
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
FATP,2019-10-28,D,SP2M5-JDP4,2019-10-28T13:07:41Z,P3-C29,NHE_P3-C29_FATP-RUNIN-CI_01,WIP9A23105DD001L3,"Check_voltage
Runin_Checkin
Read_SN
","Check_voltage  None
Runin_Checkin  None
Read_SN  
",1,0,0,0,
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
*********,************,************,********
