2020-07-21T10:29:03Z,F4-B44,NHE_F4-B44_FATP-FCHECK_01,WIP07091HFDE00PJP,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T10:32:11Z,F4-B44,NHE_F4-B44_FATP-FCHECK_01,WIP07091HFDE00PJP,"Check_hash_diff
","Check_hash_diff  457
"
2020-07-21T10:34:22Z,F4-B44,NHE_F4-B44_FATP-FCHECK_01,WIP07091HFDE00PJP,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:20:10Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:20:12Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:20:16Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:20:22Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:20:30Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:20:41Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:20:53Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:21:07Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:21:23Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:21:41Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022FN,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:21:54Z,F4-B64,NHE_F4-B64_FATP-FCHECK_02,WIP07201HFDE022G3,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T11:28:41Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:28:43Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:28:47Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:28:53Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:29:01Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:29:11Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:29:23Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:29:37Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:29:53Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:30:11Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:33:41Z,F4-B64,NHE_F4-B64_FATP-FCHECK_02,WIP07201HFDE022G3,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T12:02:17Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022H7,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
